destination_name,search_name,country,destination_type,latitude,longitude,winter_avg_temp,winter_avg_daily_rain,spring_avg_temp,spring_avg_daily_rain,summer_avg_temp,summer_avg_daily_rain,autumn_avg_temp,autumn_avg_daily_rain,search_radius_m,restaurant_count,cafe_count,bar_count,museum_count,park_count,nearby_beach_count,food_score,nightlife_score,culture_score,nature_score,beach_score,warm_destination,cold_destination,summer_destination,winter_destination,rain_risk,climate_category,island_destination,mountain_destination,coastal_destination,city_destination,food_scene_intensity,nightlife_intensity,cultural_density,nature_density,overall_score,score_balance_std,balanced_destination,dominant_travel_style,cost_of_living_index,cost_data_note,cost_of_living_level,cost_level,cluster,cluster_profile
Kefalonia,Argostoli,Greece,island,38.18,20.49,12.33,3.85,16.48,2.02,27.01,0.24,20.39,4.0,15000,138.0,53.0,30.0,8.0,5.0,65.0,3.26,2.68,6.15,0.64,90.28,True,False,True,False,True,Warm,True,False,True,False,2.09,2.5,5.43,8.49,20.6,39.0,False,Beach,52,V1 proxy estimate based on destination affordability,Mid-range,Mid-range,1,Warm Coastal & Beach
Santorini,Santorini,Greece,island,36.41,25.46,14.54,1.46,17.62,0.73,26.66,0.11,21.9,0.44,15000,302.0,75.0,53.0,15.0,4.0,24.0,6.43,4.73,11.54,0.51,33.33,True,False,True,False,False,Warm,True,False,True,False,5.3,4.56,10.85,3.25,11.31,12.93,True,Beach,72,V1 proxy estimate based on destination affordability,Luxury,Luxury,1,Warm Coastal & Beach
Funchal,Funchal,Portugal,island,32.65,-16.91,16.25,2.99,17.54,2.75,22.43,1.76,20.83,2.7,15000,565.0,306.0,288.0,31.0,38.0,13.0,14.85,25.69,23.85,4.83,18.06,False,False,False,False,False,Mild,True,False,True,True,13.82,25.56,23.26,6.12,17.46,8.3,True,Balanced,50,V1 proxy estimate based on destination affordability,Mid-range,Mid-range,1,Warm Coastal & Beach
Mallorca,Palma de Mallorca,Spain,island,39.57,2.65,12.02,1.52,16.44,1.87,26.25,0.94,19.9,1.71,15000,885.0,721.0,204.0,20.0,394.0,72.0,27.38,18.2,15.38,50.06,100.0,True,False,True,False,False,Warm,True,False,True,True,26.5,18.05,14.73,57.93,42.2,35.06,False,Beach,62,V1 proxy estimate based on destination affordability,Mid-range,Mid-range,1,Warm Coastal & Beach
Sardinia,Cagliari,Italy,island,39.22,9.11,12.04,1.99,16.03,1.61,26.08,0.22,20.2,0.96,15000,349.0,264.0,12.0,38.0,443.0,23.0,10.45,1.07,29.23,56.29,31.94,True,False,True,False,False,Warm,True,False,True,False,9.37,0.89,28.68,57.93,25.8,21.37,False,Nature,58,V1 proxy estimate based on destination affordability,Mid-range,Mid-range,1,Warm Coastal & Beach
Dubrovnik,Dubrovnik,Croatia,coastal_city,42.65,18.09,8.69,5.13,14.44,5.9,25.23,2.06,16.9,6.47,8000,201.0,63.0,66.0,18.0,20.0,34.0,4.5,5.89,13.85,2.54,47.22,True,False,False,False,True,Mild,False,False,True,False,3.35,5.72,13.18,6.49,14.8,18.63,False,Beach,60,V1 proxy estimate based on destination affordability,Mid-range,Mid-range,1,Warm Coastal & Beach
Split,Split,Croatia,coastal_city,43.51,16.44,8.82,3.73,14.85,4.51,26.07,2.09,17.24,5.54,8000,242.0,318.0,87.0,18.0,112.0,71.0,9.55,7.76,13.85,14.23,98.61,True,False,False,False,True,Mild,False,False,True,False,8.45,7.6,13.18,22.6,28.8,39.12,False,Beach,54,V1 proxy estimate based on destination affordability,Mid-range,Mid-range,1,Warm Coastal & Beach
Lisbon,Lisbon,Portugal,coastal_city,38.71,-9.14,12.46,2.67,16.18,1.85,22.53,0.34,18.69,2.58,8000,3083.0,1468.0,360.0,112.0,466.0,29.0,77.58,32.11,86.15,59.21,40.28,False,False,False,False,False,Mild,False,False,True,True,77.31,31.99,86.05,61.55,59.07,23.22,False,Culture,57,V1 proxy estimate based on destination affordability,Mid-range,Mid-range,0,Urban Culture & Food
Barcelona,Barcelona,Spain,coastal_city,41.38,2.18,9.9,1.36,14.87,2.25,24.76,1.57,18.1,2.73,8000,3996.0,1648.0,1121.0,96.0,787.0,16.0,96.22,100.0,73.85,100.0,22.22,True,False,False,False,False,Mild,False,False,True,True,96.17,100.0,73.64,100.0,78.46,33.27,False,Balanced,66,V1 proxy estimate based on destination affordability,Luxury,Luxury,0,Urban Culture & Food
Nice,Nice,France,coastal_city,43.7,7.27,9.45,2.74,14.64,3.11,24.64,0.84,17.1,3.03,8000,873.0,241.0,146.0,25.0,135.0,55.0,18.99,13.02,19.23,17.15,76.39,True,False,True,False,True,Mild,False,False,True,True,18.01,12.87,18.6,23.47,28.96,26.63,False,Beach,74,V1 proxy estimate based on destination affordability,Luxury,Luxury,1,Warm Coastal & Beach
Amalfi,Amalfi,Italy,coastal_city,40.63,14.6,10.6,3.92,15.13,3.46,25.71,1.3,18.47,4.56,8000,174.0,41.0,34.0,11.0,30.0,18.0,3.67,3.03,8.46,3.81,25.0,True,False,True,False,True,Warm,False,False,True,False,2.5,2.86,7.75,5.74,8.79,9.31,True,Beach,78,V1 proxy estimate based on destination affordability,Luxury,Luxury,1,Warm Coastal & Beach
Cinque Terre,Monterosso al Mare,Italy,region,44.15,9.66,9.7,4.55,14.55,5.26,24.3,2.58,17.11,6.84,15000,335.0,88.0,96.0,15.0,41.0,33.0,7.21,8.56,11.54,5.21,45.83,True,False,False,False,True,Mild,False,False,True,False,6.09,8.4,10.85,8.99,15.67,17.02,False,Beach,70,V1 proxy estimate based on destination affordability,Luxury,Luxury,1,Warm Coastal & Beach
Interlaken,Interlaken,Switzerland,mountain,46.69,7.86,5.07,3.65,10.38,5.85,20.05,5.28,12.7,5.64,5000,105.0,16.0,17.0,3.0,18.0,9.0,2.06,1.52,2.31,2.29,12.5,False,False,False,False,True,Cool,False,True,False,False,0.88,1.34,1.55,3.12,4.14,4.69,True,Beach,92,V1 proxy estimate based on destination affordability,Luxury,Luxury,2,Cool Balanced & Nature
Zermatt,Zermatt,Switzerland,mountain,46.02,7.75,-1.52,2.69,2.58,5.18,12.29,1.51,5.44,3.79,5000,103.0,12.0,11.0,2.0,2.0,0.0,1.96,0.98,1.54,0.25,0.0,False,True,False,True,True,Cool,False,True,False,False,0.78,0.8,0.78,0.0,0.95,0.83,True,Balanced,100,V1 proxy estimate based on destination affordability,Luxury,Luxury,2,Cool Balanced & Nature
Lake Bled,Lake Bled,Slovenia,mountain,46.36,14.09,2.85,3.41,10.2,4.79,20.42,3.55,11.34,5.49,5000,49.0,21.0,8.0,1.0,4.0,2.0,1.19,0.71,0.77,0.51,2.78,False,True,False,True,True,Cool,False,True,False,False,0.0,0.54,0.0,0.5,1.19,0.92,True,Balanced,48,V1 proxy estimate based on destination affordability,Mid-range,Mid-range,2,Cool Balanced & Nature
Prague,Prague,Czech Republic,city,50.09,14.42,2.44,1.42,10.46,1.62,20.73,2.17,10.94,2.07,3000,1492.0,751.0,364.0,119.0,185.0,0.0,38.24,32.47,91.54,23.51,0.0,False,True,False,True,False,Cool,False,False,False,True,37.49,32.35,91.47,22.85,37.15,33.72,False,Culture,46,V1 proxy estimate based on destination affordability,Mid-range,Mid-range,0,Urban Culture & Food
Vienna,Vienna,Austria,city,48.21,16.37,3.05,1.23,11.4,2.16,22.02,1.86,11.84,2.56,3000,1654.0,710.0,350.0,130.0,296.0,1.0,40.3,31.22,100.0,37.61,1.39,False,True,False,True,False,Mild,False,False,False,True,39.58,31.1,100.0,36.83,42.1,35.89,False,Culture,68,V1 proxy estimate based on destination affordability,Luxury,Luxury,0,Urban Culture & Food
Budapest,Budapest,Hungary,city,47.48,19.15,2.93,1.38,12.19,1.83,23.28,1.84,12.2,1.99,3000,48.0,22.0,2.0,8.0,102.0,0.0,1.19,0.18,6.15,12.96,0.0,False,True,False,True,False,Mild,False,False,False,False,0.0,0.0,5.43,12.48,4.1,5.55,True,Balanced,42,V1 proxy estimate based on destination affordability,Budget,Budget,2,Cool Balanced & Nature
Paris,Paris,France,city,48.86,2.32,5.88,2.19,11.66,2.44,20.04,2.94,13.04,2.8,3000,4612.0,1254.0,906.0,98.0,189.0,0.0,100.0,80.82,75.38,24.02,0.0,False,False,False,False,False,Cool,False,False,False,True,100.0,80.79,75.19,23.35,56.04,42.09,False,Food & Nightlife,82,V1 proxy estimate based on destination affordability,Luxury,Luxury,0,Urban Culture & Food
Amsterdam,Amsterdam,Netherlands,city,52.37,4.89,5.52,2.84,10.31,2.55,17.72,2.62,12.14,3.57,3000,1531.0,552.0,194.0,74.0,114.0,1.0,35.51,17.31,56.92,14.49,1.39,False,False,False,False,True,Cool,False,False,False,True,34.73,17.16,56.59,14.11,25.12,21.54,False,Culture,80,V1 proxy estimate based on destination affordability,Luxury,Luxury,2,Cool Balanced & Nature
