destination_name,country,cluster,dominant_travel_style,climate_category,overall_score,restaurant_count,cafe_count,bar_count,museum_count,park_count,nearby_beach_count,summer_avg_temp,summer_avg_daily_rain
Barcelona,Spain,0,Balanced,Mild,78.46,3996.0,1648.0,1121.0,96.0,787.0,16.0,24.76,1.57
Lisbon,Portugal,0,Culture,Mild,59.07,3083.0,1468.0,360.0,112.0,466.0,29.0,22.53,0.34
Paris,France,0,Food & Nightlife,Cool,56.04,4612.0,1254.0,906.0,98.0,189.0,0.0,20.04,2.94
Prague,Czech Republic,0,Culture,Cool,37.15,1492.0,751.0,364.0,119.0,185.0,0.0,20.73,2.17
Vienna,Austria,0,Culture,Mild,42.1,1654.0,710.0,350.0,130.0,296.0,1.0,22.02,1.86
Amalfi,Italy,1,Beach,Warm,8.79,174.0,41.0,34.0,11.0,30.0,18.0,25.71,1.3
Amsterdam,Netherlands,1,Culture,Cool,25.12,1531.0,552.0,194.0,74.0,114.0,1.0,17.72,2.62
Budapest,Hungary,1,Balanced,Mild,4.1,48.0,22.0,2.0,8.0,102.0,0.0,23.28,1.84
Cinque Terre,Italy,1,Beach,Mild,15.67,335.0,88.0,96.0,15.0,41.0,33.0,24.3,2.58
Dubrovnik,Croatia,1,Beach,Mild,14.8,201.0,63.0,66.0,18.0,20.0,34.0,25.23,2.06
Funchal,Portugal,1,Balanced,Mild,17.46,565.0,306.0,288.0,31.0,38.0,13.0,22.43,1.76
Interlaken,Switzerland,1,Beach,Cool,4.14,105.0,16.0,17.0,3.0,18.0,9.0,20.05,5.28
Kefalonia,Greece,1,Beach,Warm,20.6,138.0,53.0,30.0,8.0,5.0,65.0,27.01,0.24
Lake Bled,Slovenia,1,Balanced,Cool,1.19,49.0,21.0,8.0,1.0,4.0,2.0,20.42,3.55
Mallorca,Spain,1,Beach,Warm,42.2,885.0,721.0,204.0,20.0,394.0,72.0,26.25,0.94
Nice,France,1,Beach,Mild,28.96,873.0,241.0,146.0,25.0,135.0,55.0,24.64,0.84
Santorini,Greece,1,Beach,Warm,11.31,302.0,75.0,53.0,15.0,4.0,24.0,26.66,0.11
Sardinia,Italy,1,Nature,Warm,25.8,349.0,264.0,12.0,38.0,443.0,23.0,26.08,0.22
Split,Croatia,1,Beach,Mild,28.8,242.0,318.0,87.0,18.0,112.0,71.0,26.07,2.09
Zermatt,Switzerland,1,Balanced,Cool,0.95,103.0,12.0,11.0,2.0,2.0,0.0,12.29,1.51
