destination_name,country,restaurant_count,cafe_count,bar_count,museum_count,park_count,nearby_beach_count,summer_avg_temp,summer_avg_daily_rain
Kefalonia,Greece,138.0,53.0,30.0,8.0,5.0,65.0,27.01,0.24
Santorini,Greece,302.0,75.0,53.0,15.0,4.0,24.0,26.66,0.11
Funchal,Portugal,565.0,306.0,288.0,31.0,38.0,13.0,22.43,1.76
Mallorca,Spain,885.0,721.0,204.0,20.0,394.0,72.0,26.25,0.94
Sardinia,Italy,349.0,264.0,12.0,38.0,443.0,23.0,26.08,0.22
Dubrovnik,Croatia,201.0,63.0,66.0,18.0,20.0,34.0,25.23,2.06
Split,Croatia,242.0,318.0,87.0,18.0,112.0,71.0,26.07,2.09
Lisbon,Portugal,3083.0,1468.0,360.0,112.0,466.0,29.0,22.53,0.34
Barcelona,Spain,3996.0,1648.0,1121.0,96.0,787.0,16.0,24.76,1.57
Nice,France,873.0,241.0,146.0,25.0,135.0,55.0,24.64,0.84
Amalfi,Italy,174.0,41.0,34.0,11.0,30.0,18.0,25.71,1.3
Cinque Terre,Italy,335.0,88.0,96.0,15.0,41.0,33.0,24.3,2.58
Interlaken,Switzerland,105.0,16.0,17.0,3.0,18.0,9.0,20.05,5.28
Zermatt,Switzerland,103.0,12.0,11.0,2.0,2.0,0.0,12.29,1.51
Lake Bled,Slovenia,49.0,21.0,8.0,1.0,4.0,2.0,20.42,3.55
Prague,Czech Republic,1492.0,751.0,364.0,119.0,185.0,0.0,20.73,2.17
Vienna,Austria,1654.0,710.0,350.0,130.0,296.0,1.0,22.02,1.86
Budapest,Hungary,48.0,22.0,2.0,8.0,102.0,0.0,23.28,1.84
Paris,France,4612.0,1254.0,906.0,98.0,189.0,0.0,20.04,2.94
Amsterdam,Netherlands,1531.0,552.0,194.0,74.0,114.0,1.0,17.72,2.62
